Question	Answer	Source	Metadata
Why did you change your name?	In 2009, we changed our name to ChildFund International. We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund, so we wanted to make sure our name reflected that!	new.tsv	
Why did you drop the word Christian?	In 2009, we changed our name to ChildFund International. We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund, so we wanted to make sure our name reflected that!	new.tsv	
Why are you no longer CCF?	In 2009, we changed our name to ChildFund International. We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund, so we wanted to make sure our name reflected that!	new.tsv	
Why are you no longer Christian?	In 2009, we changed our name to ChildFund International. We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund, so we wanted to make sure our name reflected that!	new.tsv	
Why are you no longer Christian Children's Fund?	In 2009, we changed our name to ChildFund International. We work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund, so we wanted to make sure our name reflected that!	new.tsv	
Why can't I access the ChildFund website?	Hmm, sorry you're having trouble getting to our site! It works best with Google Chrome or recent versions of Internet Explorer, so I recommend using one of those browsers and make sure your cookies are enabled, too.	new.tsv	
Why are the administrative costs so high?	Good question. We're committed to responsibly spending every single dollar we bring in. And because we work hard to make sure our programs and services are efficient and high quality, we're frequently recognized for our fiscal responsibility! Here's the breakdown: Of every dollar donated, 83.5 percent goes to programs for children, while 16.5 percent is spent on management, administrative costs and fundraising.	new.tsv	
Do sponsored children move to the US?	Through our sponsorship program, a sponsor helps support a child who lives in one of the 25 countries where we work. The sponsor has the option to visit their sponsored child, but the child doesn't come to the U.S. as part of the sponsorship. Check out our website to learn more about sponsorship [here](http://bit.ly/CFsponsor).	new.tsv	
Do sponsored kids come to America?	Through our sponsorship program, a sponsor helps support a child who lives in one of the 25 countries where we work. The sponsor has the option to visit their sponsored child, but the child doesn't come to the U.S. as part of the sponsorship. Check out our website to learn more about sponsorship [here](http://bit.ly/CFsponsor).	new.tsv	
Do the kids ever come to the US?	Through our sponsorship program, a sponsor helps support a child who lives in one of the 25 countries where we work. The sponsor has the option to visit their sponsored child, but the child doesn't come to the U.S. as part of the sponsorship. Check out our website to learn more about sponsorship [here](http://bit.ly/CFsponsor).	new.tsv	
Can I email my sponsored child?	Not currently. Our national and project offices aren't equipped to handle direct emails sent to children. However, we do make electronic correspondence easy through our My Correspondence eLetters tool. All you need to do is log on to your Online Account and select My Correspondence to opt in for digital communications.	new.tsv	
email sponsored child	Not at the moment. Our national and project offices aren't equipped to handle direct emails sent to children. However, we do make electronic correspondence easy through our My Correspondence eLetters tool. All you need to do is log on to your Online Account and select My Correspondence to opt in for digital communications.	new.tsv	
Can I Facebook my child?	Facebook is a great way to communicate, but our top priority is protecting the child and sponsor, so we can't help you connect through social media. Please keep writing and sending photos to your sponsored child! You can communicate via snail mail, or you can easily send a message online through our "My Correspondence" eLetters tool! Here's how: Log on to your ChildFund online account, select the "My Correspondence" tab and click the box to opt in for electronic communications. When you send an eLetter, it is printed and delivered to your sponsored child. Then a copy of your child's reply (and the translation, if needed) will be electronically posted to your online account, and we'll email you when it's ready to view! If you have other questions about this, you can get in touch with a ChildFund team member here and they will get back to you soon.	new.tsv	
Facebook message child	Facebook is a great way to communicate, but our top priority is protecting the child and sponsor, so we can't help you connect through social media. Please keep writing and sending photos to your sponsored child! You can communicate via snail mail, or you can easily send a message online through our "My Correspondence" eLetters tool! Here's how: Log on to your ChildFund online account, select the "My Correspondence" tab and click the box to opt in for electronic communications. When you send an eLetter, it is printed and delivered to your sponsored child. Then a copy of your child's reply (and the translation, if needed) will be electronically posted to your online account, and we'll email you when it's ready to view! If you have other questions about this, you can get in touch with a ChildFund team member here and they will get back to you soon.	new.tsv	
How are your financials broken down?	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
financials	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
how is the money spent	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
Is ChildFund legit?	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
Information about financials	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
Where does the money go?	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
Where does my money go?	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
where does the money go	We're committed to using our money responsibly! 83.5 percent of every dollar we receive goes straight to programs for kids. The rest goes to management, administrative costs and fundraising, which are all essential to allow us to keep helping! We work hard to make sure our programs and services are efficient and high quality, and we're frequently recognized for our fiscal responsibility. If you want a more detailed look, you can find our financial reports [here](http://bit.ly/XXyjEL).	new.tsv	
Does the money go to the child?	When you sponsor a child, you pay $33 each month. This money doesn't go directly to the child or family. Instead, it's pooled with the monthly donations from other sponsors in the child's community. Then, local partners use it for programs or services that community needs most, like clean water, vaccinations or teacher training. That way, your money benefits the most children possible!	new.tsv	
How much money does my sponsored child get?	When you sponsor a child, you pay $33 each month. This money doesn't go directly to the child or family. Instead, it's pooled with the monthly donations from other sponsors in the child's community. Then, local partners use it for programs or services that community needs most, like clean water, vaccinations or teacher training. That way, your money benefits the most children possible!	new.tsv	
What percentage of the donation goes to the child?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
How much money do the kids get?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
How much money goes to the kids?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
How much do the kids get?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
What amount goes to the sponsored child?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
What is the percentage of financial aid that makes it to the child?	Excellent question and I'm glad you asked! 83.5 percent of the money we raise goes directly to programs for children. For more on our financials, please click [here](http://bit.ly/1ghGYhe).	new.tsv	
Can you help me fund my project?	While we wish we could help everyone in need, we are unable to provide funding for individual projects. You might be able to get the help you need through a local nonprofit organization in your community. Best of luck as you keep searching!	new.tsv	
Can I receive donations?	While we wish we could help everyone in need, we are unable to provide funding for individual projects. You might be able to get the help you need through a local nonprofit organization in your community. Best of luck as you keep searching!	new.tsv	
How are monetary gifts used?	When you send money to your sponsored child, it's converted into local currency and delivered to the child and his or her family. If you want to send a cash gift, or if you have questions about a gift you've already sent, you may contact our Sponsor Care Team by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	new.tsv	
What happens if I send my child money?	If you send a monetary gift, your sponsored child and their family will receive the money in their currency to use as they wish, so they can buy toys, shoes, food, a mosquito net or anything they may need at the time! To send a monetary gift, please contact our Sponsor Care Team by emailing Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance!	new.tsv	
Can I send money to my sponsored child	If you send a monetary gift, your sponsored child and their family will receive the money in their currency to use as they wish, so they can buy toys, shoes, food, a mosquito net or anything they may need at the time! To send a monetary gift, please contact our Sponsor Care Team by emailing Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance!	new.tsv	
Can I send cash to my sponsored child	If you send a monetary gift, your sponsored child and their family will receive the money in their currency to use as they wish, so they can buy toys, shoes, food, a mosquito net or anything they may need at the time! To send a monetary gift, please contact our Sponsor Care Team by emailing Questions@ChildFund.org or by calling 1.800.776.6767. It will help to have you your sponsor ID number ready for quicker assistance!	new.tsv	
How many children per family are sponsored?	This is a tough question because so many children need help. We consider several factors when we enroll children into the sponsorship program, like the number of kids in the family and the family's income. Usually, one child in a family can be sponsored and your gift of sponsorship will help all of them!	new.tsv	
How many kids can be sponsored in a family?	This is a tough question because so many children need help. We consider several factors when we enroll children into the sponsorship program, like the number of kids in the family and the family's income. Usually, one child in a family can be sponsored and your gift of sponsorship will help all of them!	new.tsv	
Is ChildFund doing work in my country?	Maybe, but I'm not sure exactly where you live. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
Where do you work	ChildFund has programs all over the world. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
Where does ChildFund work?	ChildFund has programs all over the world. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
Where is your work	ChildFund has programs all over the world. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
Where do you have programs	ChildFund has programs all over the world. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
Where are you located	ChildFund has programs all over the world. [Click here](http://bit.ly/2I8dUOA) to find out about the countries where we work.	new.tsv	
How can I sponsor a child?	It's really easy and we've got all the information you'll need on our website. Click [here](http://bit.ly/2lxeEO7) or feel free to ask me additional questions.	new.tsv	
how do I sponsor a child?	It's really easy and we've got all the information you'll need on our website. Click [here](http://bit.ly/2lxeEO7) or feel free to ask me additional questions.	new.tsv	
When will my information packet arrive?	Your child information folder was mailed out the next business day after you signed up, and it should get to you in 5 to 10 days. You can write to your sponsored child as soon as we've received your first donation! While you wait, feel free to [check out](http://bit.ly/LetterTips) some letter writing tips.	new.tsv	
When do I get my packet?	Your child information folder was mailed out the next business day after you signed up, and it should get to you in 5 to 10 days. You can write to your sponsored child as soon as we've received your first donation! While you wait, feel free to [check out](http://bit.ly/LetterTips) some letter writing tips.	new.tsv	
When can I get my child's information?	Your child information folder was mailed out the next business day after you signed up, and it should get to you in 5 to 10 days. You can write to your sponsored child as soon as we've received your first donation! While you wait, feel free to [check out](http://bit.ly/LetterTips) some letter writing tips.	new.tsv	
When do I get something from childFund?	Your child information folder was mailed out the next business day after you signed up, and it should get to you in 5 to 10 days. You can write to your sponsored child as soon as we've received your first donation! While you wait, feel free to [check out](http://bit.ly/LetterTips) some letter writing tips.	new.tsv	
I signed up to sponsor but haven't heard back yet	Your child information folder was mailed out the next business day after you signed up, and it should get to you in 5 to 10 days. You can write to your sponsored child as soon as we've received your first donation! While you wait, feel free to [check out](http://bit.ly/LetterTips) some letter writing tips.	new.tsv	
Why can't I search for any new children?	We're so excited that you're interested in sponsoring a child, and understand your frustration. We limit each search to around 50 children for child protection reasons. If you have a particular request, you can get in touch with a ChildFund team member here and they will get back to you soon with more information.	new.tsv	
Is ChildFund hiring for any jobs?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
is childfund hiring?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
hiring	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
are you hiring?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Can i get a job?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
can I apply for or a job?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I need a job.	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
job openings	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
do you have any openings?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
do you have job vacancies?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
vacancies?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
job	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Apply for a position	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
apply for a career	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Apply for job	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Jobs	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Employment	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I want to join you.	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
How do I join your organization?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
How do I join ChildFund?	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I want to join ChildFund.	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I want to work for you	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I want to work for your company	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
I want to work for your organization	Thanks for your interest in working with us! You can find the latest job postings [here](http://bit.ly/oBJfuL). Good luck!	new.tsv	
Why wasn't I notified that my child moved?	I'm so sorry that we did not fully meet your expectations as a sponsor. We do send a letter to notify you if your child moved, and I hope you were able to read through that letter. We'll do our best to explain. When a family decides to relocate outside of ChildFund program areas, they usually don't give much notice, which means we often aren't able to let the sponsor know about the situation before the child moves. I understand having to say goodbye to a child is one of the hardest things we have to ask our sponsors to do, especially under these circumstances, so we try to include as much information as possible about the child's departure in your letter. We appreciate your commitment to your sponsored child, and we believe you created a meaningful bond which will continue to inspire both of you in your lives. If you'd like to send a farewell letter, we will do our best to get it to your sponsored child if some of their family is still in the area. Thank you so much for your sponsorship, and I hope you'll consider helping another child.	new.tsv	
Why wasn't I notified my child's community got shut down?	We understand your concern, and we're sorry you didn't receive the letter that was mailed to all the sponsors who were impacted! Our goal is to help our local partner organizations become self sufficient, which is what happened in your child's community, thanks to your support! We're so happy the community is now self sustaining, but we also understand that the end of a sponsorship is hard for both children and sponsors. You can get in touch with a ChildFund team member here and they will get back to you soon with more information.	new.tsv	
Community shut down	We understand your concern, and we're sorry you didn't receive the letter that was mailed to all the sponsors who were impacted! Our goal is to help our local partner organizations become self sufficient, which is what happened in your child's community, thanks to your support! We're so happy the community is now self sustaining, but we also understand that the end of a sponsorship is hard for both children and sponsors. You can get in touch with a ChildFund team member here and they will get back to you soon with more information.	new.tsv	
Can you help my family?	While we wish we were able to help everyone in need, we can't provide help for families that are not in our programs. You may be able to get help from a local nonprofit organization in your community, so we encourage you to ask your local leaders what resources are available. Best of luck with your search!	new.tsv	
I'm Himangi, I live in Sri Lanka can you help	While we wish we were able to help everyone in need, we can't provide help for families that are not in our programs. You may be able to get help from a local nonprofit organization in your community, so we encourage you to ask your local leaders what resources are available. Best of luck with your search!	new.tsv	
I'm in India. Can you help me?	While we wish we were able to help everyone in need, we can't provide help for families that are not in our programs. You may be able to get help from a local nonprofit organization in your community, so we encourage you to ask your local leaders what resources are available. Best of luck with your search!	new.tsv	
Why isn't ChildFund in my area?	While we wish we were able to help everyone in need, we cannot provide help in areas where we do not have programs. You may be able to get help from a local nonprofit organization in your community, so we encourage you to ask your local leaders what resources are available. Best of luck with your search!	new.tsv	
Why haven't I received any letters yet?	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
Haven't heard from my sponsored child.	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
No communication from my sponsored kid.	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
Have not received a letter	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
I haven't got mail from my sponsored child yet.	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
Haven't heard from my kid	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
No contact from my child	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
I never get letters	Waiting is always the hardest part, right? We get it! Let us explain how the letter process works, so you can get a sense of the timeline: Once your sponsored child learns they have a sponsor, he or she will write you a letter to say hello! If they're too young or unable to write, a family member or local partner staff will help out. Then the letter will go to the country office and get translated (if needed) and sent to you! It's good to keep in mind that mail services to and from remote areas can be slow, so please allow up to 12 weeks for a complete exchange of letters. Thank you for sponsoring a child. The fun is just beginning!	new.tsv	
Can I receive photos of my child?	Great question. Yes, absolutely! If you become a sponsor, you'll receive photos of your sponsored child and progress reports to keep you up to date on what's going on in your sponsored child's life. We also encourage you to keep in touch with letters, cards, and photos of your home, family, pets or anything else you want to share! Please check out this [page](http://bit.ly/CFsponsor) for more info about sponsorship.	new.tsv	
How do get photos of my child	If you become a sponsor, you'll receive photos of your sponsored child and progress reports to keep you up to date on what's going on in your sponsored child's life. We also encourage you to keep in touch with letters, cards, and photos of your home, family, pets or anything else you want to share! Please check out this [page](http://bit.ly/CFsponsor) for more info about sponsorship.	new.tsv	
Do I get photos of my kid?	If you become a sponsor, you'll receive photos of your sponsored child and progress reports to keep you up to date on what's going on in your sponsored child's life. We also encourage you to keep in touch with letters, cards, and photos of your home, family, pets or anything else you want to share! Please check out this [page](http://bit.ly/CFsponsor) for more info about sponsorship.	new.tsv	
Do I receive pictures of my child?	If you become a sponsor, you'll receive photos of your sponsored child and progress reports to keep you up to date on what's going on in your sponsored child's life. We also encourage you to keep in touch with letters, cards, and photos of your home, family, pets or anything else you want to share! Please check out this [page](http://bit.ly/CFsponsor) for more info about sponsorship.	new.tsv	
Do I get pics of my sponsored kid?	If you become a sponsor, you'll receive photos of your sponsored child and progress reports to keep you up to date on what's going on in your sponsored child's life. We also encourage you to keep in touch with letters, cards, and photos of your home, family, pets or anything else you want to share! Please check out this [page](http://bit.ly/CFsponsor) for more info about sponsorship.	new.tsv	
Does ChildFund give scholarships?	It's great that you're continuing your education! We don't provide scholarships or grants, but we do have some programs to help youth in other ways as they further their education, so check with your local community leaders to find out if ChildFund is operating where you live. Best of luck, and happy learning!	new.tsv	
scholarships	It's great that you're continuing your education! We don't provide scholarships or grants, but we do have some programs to help youth in other ways as they further their education, so check with your local community leaders to find out if ChildFund is operating where you live. Best of luck, and happy learning!	new.tsv	
higher education	It's great that you're continuing your education! We don't provide scholarships or grants, but we do have some programs to help youth in other ways as they further their education, so check with your local community leaders to find out if ChildFund is operating where you live. Best of luck, and happy learning!	new.tsv	
How much money should I send to my child?	We recommend sending monetary gifts between $20 and $50.	new.tsv	
How much cash should I send my kid?	We recommend sending monetary gifts between $20 and $50.	new.tsv	
How much money should I send my kid?	We recommend sending monetary gifts between $20 and $50.	new.tsv	
How much cash should I give to my child?	We recommend sending monetary gifts between $20 and $50.	new.tsv	
I don't know how much money to send to my child.	We recommend sending monetary gifts between $20 and $50.	new.tsv	
I don't know how much money to send my kid.	We recommend sending monetary gifts between $20 and $50.	new.tsv	
Can you guarantee my sponsored child received my cash gift?	Yes, your child will receive 100% of the money you send. We really appreciate it when you're able to include $3.50 for handling fees that help us cover delivery, processing, added security, and foreign currency fees.	new.tsv	
Does my kid get all the cash gift?	Yes, your child will receive 100% of the money you send. We really appreciate it when you're able to include $3.50 for handling fees that help us cover delivery, processing, added security, and foreign currency fees.	new.tsv	
How much of my cash gift does the child receive?	Yes, your child will receive 100% of the money you send. We really appreciate it when you're able to include $3.50 for handling fees that help us cover delivery, processing, added security, and foreign currency fees.	new.tsv	
How can I send a cash gift to my child?	There are three ways to do that: through your online sponsorship account, including it with your sponsorship donations (just add your gift on the Sponsorship Reply form attached to your statement) or by giving us a call at 1.800.776.6767.	new.tsv	
How can I send a monetary gift to my child?	There are three ways to do that: through your online sponsorship account, including it with your sponsorship donations (just add your gift on the Sponsorship Reply form attached to your statement) or by giving us a call at 1.800.776.6767.	new.tsv	
How can I send cash directly to my child?	There are three ways to do that: through your online sponsorship account, including it with your sponsorship donations (just add your gift on the Sponsorship Reply form attached to your statement) or by giving us a call at 1.800.776.6767.	new.tsv	
How can I send money directly to my kid?	There are three ways to do that: through your online sponsorship account, including it with your sponsorship donations (just add your gift on the Sponsorship Reply form attached to your statement) or by giving us a call at 1.800.776.6767.	new.tsv	
I've been a sponsor for several years.	Wow, that's awesome, thank you so much for your care and commitment! You're making a big difference in your sponsored child's life, and I hope sponsorship is a fulfilling experience for you, too. You make ChildFund's work possible, and we can't thank you enough.	new.tsv	
I am a sponsor.	Wow, that's awesome, thank you so much for your care and commitment! You're making a big difference in your sponsored child's life, and I hope sponsorship is a fulfilling experience for you, too. You make ChildFund's work possible, and we can't thank you enough.	new.tsv	
Where can I share my story about visting my sponsored child?	We'd love to hear more about your trip, and I'm sure other sponsors would, too! If you can choose your best 5 to10 photos to send to us, we can help identify the best way to share your story with others. You can send photos and captions to questions@childfund.org, and we'll send you a release form. We look forward to hearing from you. Thank you so much for being a sponsor!	new.tsv	
I want to share my story	We'd love to hear more about your trip, and I'm sure other sponsors would, too! If you can choose your best 5 to10 photos to send to us, we can help identify the best way to share your story with others. You can send photos and captions to questions@childfund.org, and we'll send you a release form. We look forward to hearing from you. Thank you so much for being a sponsor!	new.tsv	
Can you share any success stories?	Great question! We have lots of success stories! I'd suggest taking a look at our Facebook posts, where we often link to the ChildFund website; there, you can find out more about our programs and hear from children and families who have been able to change their lives for the better because they've been able to access resources and opportunities through ChildFund and our partners.	new.tsv	
I love being a sponsor	I'm so happy to hear that! We love our sponsors, too! I'm glad you're enjoying sponsorship, and all of us at ChildFund truly appreciate your commitment to helping children and your continued support of our organization.	new.tsv	
